Volatility,3,Framework,2.9.0
Variable,Value
Kernel,Base,0x82813000
DTB,0x185000
Symbols,jar:file:C:\Users\Administrator\PycharmProjects\TraceAI\TraceAI\volatility3-develop\volatility3\symbols\windows.zip!windows/ntkrnlmp.pdb/A6E2F3984A6549D784E2B9A617EAC04A-2.json.xz
Is64Bit,False
IsPAE,False
layer_name,0,WindowsIntel
memory_layer,1,FileLayer
KdDebuggerDataBlock,0x82937c70
NTBuildLab,7601.23915.x86fre.win7sp1_ldr.17
CSDVersion,1
KdVersionBlock,0x82937c48
Major/Minor,15.7601
MachineType,332
KeNumberProcessors,1
SystemTime,2017-12-08,22:42:18+00:00
NtSystemRoot,C:\Windows
NtProductType,NtProductWinNt
NtMajorVersion,6
NtMinorVersion,1
PE,MajorOperatingSystemVersion,6
PE,MinorOperatingSystemVersion,1
PE,Machine,332
PE,TimeDateStamp,Wed,Sep,13,14:47:56,2017
